category,subkey,base_model,maskfill_model,n,n_neg,n_perturbation,accuracy,f1,roc_auc,precision,recall
perturbation_d,,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,10,0.6589537223,0.7272727273,0.7163463679,0.6058981233,0.9094567404
perturbation_z,,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,10,0.5211267606,0.6712707182,0.5216287666,0.5110410095,0.9778672032
perturbation_d,,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,1,0.5714285714,0.6757990868,0.6144998765,0.5434516524,0.893360161
perturbation_z,,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,1,0.5714285714,0.6757990868,0.6144998765,0.5434516524,0.893360161
perturbation_d,deepseek-v3.2,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,990,495,10,0.5666666667,0.6861741039,0.6294541373,0.5378440367,0.9474747475
perturbation_z,deepseek-v3.2,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,990,495,10,0.5282828283,0.6713581985,0.5231751862,0.5151187905,0.9636363636
perturbation_d,deepseek-v3.2,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,990,495,1,0.5212121212,0.6703755216,0.534959698,0.5111346766,0.9737373737
perturbation_z,deepseek-v3.2,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,990,495,1,0.5212121212,0.6703755216,0.534959698,0.5111346766,0.9737373737
perturbation_d,gemini-3-flash,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,10,0.5583501006,0.6884315117,0.5820111818,0.5317982456,0.9758551308
perturbation_z,gemini-3-flash,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,10,0.5301810865,0.6699646643,0.5184426478,0.5163398693,0.953722334
perturbation_d,gemini-3-flash,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,1,0.5120724346,0.6689419795,0.5619228449,0.5061983471,0.985915493
perturbation_z,gemini-3-flash,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,1,0.5120724346,0.6689419795,0.5619228449,0.5061983471,0.985915493
perturbation_d,gpt-5.2,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,990,495,10,0.5636363636,0.6887608069,0.5565799408,0.5352743561,0.9656565657
perturbation_z,gpt-5.2,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,990,495,10,0.5353535354,0.6690647482,0.5778553209,0.5195530726,0.9393939394
perturbation_d,gpt-5.2,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,990,495,1,0.5090909091,0.6675786594,0.5175124987,0.5046535677,0.9858585859
perturbation_z,gpt-5.2,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,990,495,1,0.5090909091,0.6675786594,0.5175124987,0.5046535677,0.9858585859
perturbation_d,grok-4,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,978,489,10,0.6533742331,0.726833199,0.690202868,0.5997340426,0.9222903885
perturbation_z,grok-4,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,978,489,10,0.5102249489,0.6689702833,0.5390199941,0.5052192067,0.9897750511
perturbation_d,grok-4,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,978,489,1,0.5603271984,0.6800595238,0.607403783,0.534502924,0.9345603272
perturbation_z,grok-4,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,978,489,1,0.5603271984,0.6800595238,0.607403783,0.534502924,0.9345603272
perturbation_d,qwen,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,10,0.6207243461,0.7019762846,0.6677853843,0.578125,0.893360161
perturbation_z,qwen,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,10,0.5281690141,0.670877193,0.5479274035,0.5150862069,0.9617706237
perturbation_d,qwen,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,1,0.5422535211,0.6802529866,0.604148027,0.5226781857,0.9738430584
perturbation_z,qwen,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,994,497,1,0.5422535211,0.6802529866,0.604148027,0.5226781857,0.9738430584
perturbation_d,qwen3-14b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,10,0.7680722892,0.8020565553,0.8468855341,0.6995515695,0.9397590361
perturbation_z,qwen3-14b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,10,0.5522088353,0.6867977528,0.547898421,0.5280777538,0.9819277108
perturbation_d,qwen3-14b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,1,0.6315261044,0.7192042846,0.7064240899,0.5809641533,0.9437751004
perturbation_z,qwen3-14b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,1,0.6315261044,0.7192042846,0.7064240899,0.5809641533,0.9437751004
perturbation_d,qwen3-235b-a22b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,10,0.7439759036,0.7829787234,0.8143699295,0.6794682422,0.9236947791
perturbation_z,qwen3-235b-a22b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,10,0.5512048193,0.6863157895,0.5562168352,0.5275080906,0.9819277108
perturbation_d,qwen3-235b-a22b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,1,0.5642570281,0.6904422254,0.6855816842,0.5353982301,0.9718875502
perturbation_z,qwen3-235b-a22b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,1,0.5642570281,0.6904422254,0.6855816842,0.5353982301,0.9718875502
perturbation_d,qwen3-32b,Qwen/Qwen2.5-1.5B-Instruct,google/mt5-base,996,498,10,0.7740963855,0.8041775457,0.8326478605,0.7096774194,0.9277108434
